Dieter Schulte 	VN NN 
DGB-Chef Dieter Schulte 	TIT VN NN 
Dieter Schulte 	VN NN 
DGB-Chef Dieter Schulte 	TIT VN NN 
Dieter Schulte 	VN NN 
DGB-Chef Dieter Schulte 	TIT VN NN 
Dieter Schulte 	VN NN 
DGB-Chef Dieter Schulte 	TIT VN NN 
Andreas Grabinski 	VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Helmut Kohl 	VN NN 
Heide Simonis 	VN NN 
Jürgen Echternach 	VN NN 
Ex-Vorsitzenden Jürgen Echternach 	TIT VN NN 
Rolf Kruse 	VN NN 
Bundeskanzler Kohl 	TIT NN 
Christiane Brandt 	VN NN 
Veronica Martinez 	VN NN 
Wolfgang Poggendorf 	VN NN 
Dieter Backhaus 	VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Helmut Kohl 	VN NN 
Heide Simonis 	VN NN 
Jürgen Echternach 	VN NN 
Ex-Vorsitzenden Jürgen Echternach 	TIT VN NN 
Rolf Kruse 	VN NN 
Bundeskanzler Kohl 	TIT NN 
Christian Maaß 	VN NN 
Abgeordnete Christian Maaß 	TIT VN NN 
Jörg Dräger 	VN NN 
Gesundheitssenator Jörg Dräger 	TIT VN NN 
Helmut Kohl 	VN NN 
Heide Simonis 	VN NN 
Jürgen Echternach 	VN NN 
Ex-Vorsitzenden Jürgen Echternach 	TIT VN NN 
Rolf Kruse 	VN NN 
Bundeskanzler Kohl 	TIT NN 
Christiane Brandt 	VN NN 
Veronica Martinez 	VN NN 
Wolfgang Poggendorf 	VN NN 
Dieter Backhaus 	VN NN 
Katherine Römer 	VN NN 
Angestellte Katherine Römer 	TIT VN NN 
Mathias Nagel 	VN NN 
Betriebsrat Mathias Nagel 	TIT VN NN 
Katherine Römer 	VN NN 
Mathias Nagel 	VN NN 
Thomas Kurrer 	VN NN 
Manfred Reuter 	VN NN 
Amtsleiter Manfred Reuter 	TIT VN NN 
Hans-Peter Dücker 	VN NN 
Christa Goetsch 	VN NN 
GAL-Fraktionschefin Christa Goetsch 	TIT VN NN 
Frank Schöndube 	VN NN 
Udo Nagel 	VN NN 
Innensenator Udo Nagel 	TIT VN NN 
Senator Nagel 	TIT NN 
Wolfgang Sielaff 	VN NN 
Klaus Püschel 	VN NN 
Prof . Klaus Püschel 	TIT PU VN NN 
Jan Philipp Reemtsma 	VN VN NN 
Kathrin Fechner 	VN NN 
Wolfgang Rose 	VN NN 
Maria Mazza 	VN NN 
Maria Mazza 	VN NN 
Maria Mazza 	VN NN 
Maria Mazza 	VN NN 
Maria Mazza 	VN NN 
Maria Mazza 	VN NN 
Michael Göring 	VN NN 
Professor Michael Göring 	TIT VN NN 
Detlef Gottschalck 	VN NN 
Vorsitzende Richter 	TIT NN 
Otto Schily 	VN NN 
Bundesinnenminister Otto Schily 	TIT VN NN 
Shimon Stein 	VN NN 
Niels Hansen 	VN NN 
Udo Nagel 	VN NN 
