NUM	00000000000000000000000000000001
KL	00000000000000000000000000000010
DET	00000000000000000000000000000100
PP	00000000000000000000000000001000
HV	00000000000000000000000000010000
GR	00000000000000000000000001000000
NAM	00000000000000000000000010000000
VN	00000000000000000000000100000000
NN	00000000000000000000001000000000
TIT	00000000000000000000010000000000
SZ	00000000000000000000100000000000
KOM	00000000000000000001000000000000
PU	00000000000000000010000000000000
MIX	00000000000000000100000000000000
ZNAM	00000000000000001000000000000000
ZN	00000000000000001000000000000000
REJ	00000000000000010000000000000000
A	
AV	
N	
NE	
S	
V	
Z	00000000000000000000100000000000
